{'image': [[88, 90, 91, 93, 92, 90, 90, 94], [90, 92, 92, 90, 92, 91, 91, 92], [89, 89, 92, 91, 90, 91, 92, 93], [88, 89, 89, 88, 90, 91, 92, 94], [87, 91, 89, 88, 91, 89, 90, 92], [88, 87, 86, 88, 90, 89, 89, 90], [85, 86, 87, 86, 90, 86, 89, 86], [85, 84, 83, 83, 85, 85, 86, 89]], 'bbox': [], 'category_id': [], 'timestamp': 1628035774682, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 89, 93, 92, 91, 92, 91, 92], [89, 91, 92, 92, 90, 92, 92, 94], [89, 91, 90, 90, 89, 91, 92, 93], [91, 88, 88, 89, 93, 89, 92, 91], [88, 88, 89, 90, 90, 90, 91, 88], [89, 89, 88, 88, 90, 90, 91, 90], [86, 86, 87, 88, 90, 88, 90, 86], [85, 83, 87, 84, 85, 86, 85, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035779083, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 90, 89, 90, 91, 90, 90, 93], [89, 89, 91, 89, 91, 91, 91, 93], [89, 89, 91, 89, 91, 91, 92, 94], [88, 88, 89, 89, 91, 91, 92, 91], [87, 90, 90, 89, 90, 89, 89, 90], [88, 90, 88, 90, 88, 89, 89, 89], [87, 86, 86, 87, 88, 88, 91, 87], [84, 82, 84, 82, 84, 84, 85, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035779286, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[92, 90, 90, 92, 91, 93, 91, 94], [89, 89, 90, 90, 90, 92, 93, 92], [88, 89, 90, 90, 90, 90, 92, 93], [91, 91, 89, 89, 90, 92, 91, 93], [88, 89, 88, 90, 89, 88, 91, 89], [87, 86, 88, 87, 90, 90, 89, 88], [86, 86, 87, 88, 89, 87, 90, 89], [82, 84, 84, 83, 87, 86, 82, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035779482, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 92, 89, 92, 92, 91, 93, 92], [90, 89, 90, 91, 90, 93, 91, 94], [87, 89, 90, 92, 90, 90, 91, 92], [90, 88, 88, 90, 89, 91, 91, 93], [87, 90, 91, 89, 89, 90, 90, 91], [88, 86, 88, 89, 89, 90, 89, 91], [89, 85, 86, 86, 88, 88, 90, 90], [84, 84, 85, 85, 86, 86, 85, 84]], 'bbox': [], 'category_id': [], 'timestamp': 1628035779685, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 92, 92, 91, 91, 91, 96], [89, 91, 93, 93, 90, 92, 90, 94], [88, 91, 91, 92, 90, 91, 91, 93], [90, 87, 89, 88, 90, 91, 92, 94], [89, 89, 90, 89, 90, 89, 89, 90], [86, 87, 85, 89, 90, 90, 89, 91], [87, 87, 86, 89, 90, 87, 90, 88], [86, 84, 85, 82, 85, 84, 87, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035779888, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 90, 91, 91, 90, 89, 92, 92], [90, 92, 90, 91, 91, 91, 89, 92], [88, 90, 91, 90, 90, 91, 91, 93], [90, 89, 88, 89, 91, 91, 91, 91], [88, 89, 89, 91, 88, 91, 90, 92], [90, 86, 86, 89, 91, 90, 91, 90], [89, 85, 87, 87, 88, 87, 91, 86], [83, 84, 85, 82, 85, 84, 83, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035780084, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 91, 93, 93, 92, 90, 92, 93], [90, 89, 90, 91, 92, 92, 90, 93], [89, 90, 90, 89, 90, 92, 92, 92], [91, 90, 89, 88, 90, 91, 92, 91], [86, 90, 88, 89, 88, 91, 91, 90], [88, 88, 87, 90, 90, 89, 88, 89], [85, 86, 86, 89, 90, 87, 90, 89], [82, 82, 85, 83, 86, 86, 84, 84]], 'bbox': [[0.875, 0.625, 0.25, 0.25]], 'category_id': [0], 'timestamp': 1628035780287, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 91, 91, 90, 92, 91, 92, 94], [91, 91, 91, 93, 92, 91, 91, 94], [87, 88, 89, 91, 90, 90, 91, 95], [91, 87, 88, 88, 90, 91, 90, 92], [87, 90, 89, 91, 88, 89, 90, 88], [88, 87, 88, 88, 91, 91, 88, 89], [87, 85, 86, 87, 89, 86, 89, 88], [83, 82, 84, 84, 85, 86, 84, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035780482, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 91, 92, 92, 91, 89, 94], [92, 90, 90, 92, 91, 92, 92, 94], [90, 89, 90, 89, 91, 91, 90, 94], [89, 89, 88, 89, 91, 91, 91, 92], [86, 89, 88, 90, 88, 89, 90, 90], [89, 88, 88, 88, 89, 91, 88, 89], [87, 87, 86, 89, 89, 85, 89, 87], [85, 83, 85, 85, 85, 86, 86, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035780685, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 89, 91, 90, 92, 92, 91, 94], [89, 89, 91, 91, 91, 90, 90, 91], [87, 89, 90, 91, 90, 91, 91, 93], [87, 87, 87, 88, 89, 91, 92, 91], [88, 88, 87, 89, 87, 90, 89, 90], [87, 85, 86, 88, 90, 89, 89, 88], [88, 85, 86, 87, 90, 87, 91, 87], [84, 83, 84, 84, 87, 84, 84, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035780888, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 91, 92, 94, 92, 93, 92, 94], [89, 91, 91, 90, 91, 91, 90, 94], [88, 87, 91, 91, 90, 92, 93, 95], [90, 87, 88, 88, 90, 93, 91, 91], [89, 89, 92, 91, 89, 88, 90, 89], [88, 89, 87, 89, 89, 89, 90, 88], [88, 85, 88, 87, 89, 87, 89, 90], [82, 83, 83, 83, 83, 85, 85, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035781084, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 90, 91, 90, 92, 91, 92, 94], [89, 91, 92, 92, 91, 91, 93, 93], [87, 90, 89, 91, 90, 91, 91, 92], [88, 87, 89, 90, 90, 90, 91, 91], [88, 89, 90, 89, 89, 89, 89, 91], [89, 87, 87, 89, 89, 89, 90, 90], [86, 87, 89, 87, 88, 87, 88, 88], [85, 83, 84, 84, 85, 87, 86, 88]], 'bbox': [[0.25, 0.625, 0.25, 0.25]], 'category_id': [0], 'timestamp': 1628035781287, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 90, 89, 91, 90, 90, 89, 94], [88, 89, 89, 89, 90, 91, 91, 94], [88, 88, 91, 90, 90, 90, 91, 93], [90, 87, 90, 87, 89, 89, 90, 91], [88, 87, 90, 89, 87, 89, 90, 90], [89, 86, 85, 87, 89, 90, 89, 89], [86, 86, 86, 87, 91, 86, 88, 88], [81, 83, 85, 81, 83, 86, 83, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035781483, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 87, 90, 91, 90, 92, 93, 94], [89, 89, 92, 92, 91, 91, 92, 92], [86, 89, 90, 92, 91, 92, 90, 93], [88, 87, 89, 88, 91, 90, 91, 89], [89, 88, 90, 92, 89, 90, 87, 89], [88, 87, 88, 89, 90, 89, 91, 89], [87, 86, 86, 88, 89, 87, 90, 87], [84, 82, 86, 82, 85, 85, 85, 87]], 'bbox': [], 'category_id': [], 'timestamp': 1628035781686, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 89, 90, 92, 92, 91, 93, 94], [90, 91, 90, 93, 91, 92, 91, 92], [87, 88, 90, 91, 89, 93, 89, 93], [89, 89, 88, 87, 91, 90, 91, 94], [88, 88, 90, 88, 89, 90, 90, 91], [89, 87, 88, 87, 88, 90, 89, 90], [86, 85, 87, 87, 89, 86, 88, 86], [83, 85, 86, 84, 87, 84, 87, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035781882, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 91, 90, 92, 91, 93, 91, 93], [90, 91, 93, 91, 92, 90, 92, 96], [88, 91, 92, 92, 91, 91, 92, 93], [92, 89, 89, 91, 91, 92, 90, 90], [90, 87, 88, 90, 90, 89, 93, 91], [88, 88, 88, 90, 89, 90, 91, 93], [87, 86, 88, 89, 88, 89, 91, 86], [86, 85, 86, 83, 85, 86, 87, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035782085, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 90, 90, 92, 92, 91, 91, 92], [92, 89, 91, 91, 91, 92, 92, 93], [90, 90, 91, 89, 90, 90, 92, 93], [89, 89, 88, 90, 92, 89, 92, 91], [88, 90, 88, 90, 89, 90, 90, 90], [88, 87, 88, 88, 90, 90, 91, 89], [86, 86, 86, 87, 88, 86, 89, 85], [84, 82, 84, 81, 84, 85, 87, 88]], 'bbox': [], 'category_id': [], 'timestamp': 1628035782288, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 92, 88, 92, 91, 91, 91, 95], [92, 91, 92, 91, 90, 92, 92, 91], [87, 89, 90, 90, 90, 89, 90, 93], [92, 88, 88, 89, 90, 92, 91, 91], [88, 88, 89, 90, 89, 90, 90, 90], [86, 86, 88, 88, 89, 90, 88, 90], [88, 86, 87, 87, 89, 87, 89, 90], [83, 82, 83, 82, 85, 86, 86, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035782483, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 89, 91, 91, 92, 92, 93, 94], [90, 89, 91, 91, 91, 92, 91, 94], [88, 88, 91, 90, 89, 93, 91, 94], [88, 86, 89, 89, 90, 90, 91, 93], [87, 89, 89, 91, 90, 91, 89, 92], [90, 87, 87, 89, 90, 89, 91, 91], [87, 87, 87, 88, 90, 87, 91, 88], [82, 84, 84, 85, 84, 87, 85, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035782686, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[87, 91, 91, 91, 91, 92, 92, 94], [88, 90, 92, 91, 90, 92, 90, 94], [88, 89, 91, 91, 90, 91, 91, 93], [89, 89, 88, 90, 90, 90, 93, 92], [90, 88, 91, 89, 89, 91, 89, 89], [88, 87, 89, 88, 89, 88, 90, 90], [87, 86, 87, 89, 90, 88, 89, 87], [85, 84, 83, 84, 84, 85, 86, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035782882, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 90, 91, 93, 92, 92, 94], [91, 90, 91, 91, 90, 91, 90, 92], [89, 90, 89, 91, 91, 92, 92, 92], [91, 87, 91, 90, 89, 90, 92, 93], [87, 89, 88, 90, 88, 90, 90, 92], [88, 88, 88, 90, 90, 89, 90, 89], [86, 86, 86, 87, 89, 88, 89, 90], [86, 85, 84, 84, 84, 87, 87, 87]], 'bbox': [], 'category_id': [], 'timestamp': 1628035783085, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 90, 90, 92, 92, 92, 92], [91, 90, 91, 92, 91, 91, 92, 93], [88, 88, 90, 90, 90, 90, 91, 94], [92, 87, 89, 87, 90, 91, 93, 93], [87, 89, 89, 88, 89, 87, 88, 89], [86, 85, 88, 87, 90, 91, 90, 88], [87, 85, 86, 89, 89, 87, 88, 87], [84, 83, 86, 83, 83, 84, 85, 82]], 'bbox': [], 'category_id': [], 'timestamp': 1628035783288, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 89, 90, 91, 91, 94, 91, 93], [90, 90, 91, 93, 90, 91, 93, 91], [88, 87, 90, 90, 90, 90, 90, 93], [89, 88, 89, 88, 90, 91, 90, 93], [88, 90, 90, 90, 89, 88, 90, 91], [87, 88, 88, 87, 90, 90, 90, 91], [88, 86, 85, 88, 89, 87, 91, 87], [84, 82, 84, 84, 86, 89, 85, 87]], 'bbox': [], 'category_id': [], 'timestamp': 1628035783484, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 91, 91, 92, 94, 92, 96], [89, 89, 92, 91, 90, 92, 91, 93], [87, 91, 90, 90, 90, 91, 91, 94], [90, 87, 88, 89, 91, 91, 92, 91], [87, 92, 89, 92, 90, 88, 91, 91], [87, 87, 88, 90, 90, 89, 90, 89], [87, 86, 87, 87, 88, 85, 88, 91], [83, 84, 86, 82, 86, 85, 86, 83]], 'bbox': [], 'category_id': [], 'timestamp': 1628035783687, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 93, 91, 92, 93, 93, 91, 91], [90, 89, 91, 91, 92, 91, 93, 95], [88, 89, 90, 89, 90, 90, 90, 95], [88, 88, 88, 89, 91, 92, 91, 93], [87, 89, 89, 91, 88, 91, 90, 89], [90, 86, 89, 88, 90, 90, 90, 89], [87, 87, 86, 86, 88, 88, 89, 90], [83, 83, 85, 81, 85, 85, 84, 83]], 'bbox': [], 'category_id': [], 'timestamp': 1628035783890, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 89, 91, 93, 93, 90, 95], [89, 90, 90, 91, 90, 90, 92, 92], [90, 90, 89, 90, 89, 92, 91, 94], [91, 89, 86, 89, 89, 90, 89, 91], [89, 89, 88, 90, 88, 90, 89, 89], [87, 86, 88, 91, 91, 92, 89, 87], [86, 86, 86, 87, 89, 87, 89, 87], [84, 83, 85, 83, 86, 86, 87, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035784086, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 88, 92, 92, 90, 94, 92, 95], [90, 89, 91, 92, 90, 92, 93, 93], [89, 90, 88, 92, 91, 91, 91, 91], [91, 86, 89, 90, 90, 90, 92, 91], [89, 88, 90, 90, 89, 89, 89, 90], [89, 87, 88, 88, 90, 91, 89, 88], [87, 87, 86, 87, 91, 88, 90, 89], [85, 85, 86, 83, 85, 87, 86, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035784289, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 91, 90, 91, 92, 91, 92, 93], [90, 90, 90, 92, 91, 92, 93, 95], [87, 90, 91, 91, 91, 90, 91, 93], [89, 86, 90, 88, 91, 92, 91, 92], [87, 90, 90, 90, 89, 90, 91, 91], [90, 89, 87, 89, 89, 91, 91, 89], [87, 86, 85, 88, 90, 87, 89, 89], [81, 84, 85, 83, 84, 88, 85, 84]], 'bbox': [], 'category_id': [], 'timestamp': 1628035784484, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 89, 92, 92, 93, 92, 94], [89, 88, 90, 92, 91, 91, 91, 92], [91, 90, 91, 91, 91, 91, 90, 93], [90, 89, 89, 90, 90, 93, 91, 92], [89, 89, 89, 90, 91, 90, 90, 90], [87, 86, 87, 89, 90, 90, 89, 90], [85, 86, 85, 87, 90, 89, 87, 89], [84, 82, 83, 83, 88, 85, 83, 87]], 'bbox': [], 'category_id': [], 'timestamp': 1628035784687, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 89, 90, 91, 93, 91, 92, 91], [89, 89, 92, 92, 92, 91, 92, 92], [89, 88, 88, 89, 89, 90, 92, 93], [89, 88, 89, 88, 90, 91, 90, 92], [87, 88, 89, 90, 88, 89, 90, 91], [89, 85, 89, 88, 91, 90, 90, 89], [84, 85, 86, 87, 88, 87, 88, 88], [83, 83, 83, 82, 85, 86, 85, 82]], 'bbox': [], 'category_id': [], 'timestamp': 1628035785688, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 92, 89, 92, 91, 91, 94], [90, 88, 92, 91, 90, 89, 93, 92], [88, 89, 89, 90, 90, 92, 90, 94], [89, 88, 88, 88, 91, 91, 90, 93], [88, 89, 89, 88, 89, 86, 90, 89], [86, 84, 86, 87, 90, 89, 89, 86], [87, 87, 86, 86, 89, 86, 90, 87], [84, 84, 85, 84, 85, 85, 84, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035785891, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 89, 92, 94, 92, 90, 94], [89, 92, 93, 91, 90, 91, 92, 94], [89, 90, 91, 90, 92, 92, 92, 91], [89, 87, 88, 89, 91, 90, 92, 94], [87, 90, 89, 90, 91, 90, 90, 90], [89, 87, 87, 88, 89, 91, 90, 89], [86, 85, 88, 89, 89, 89, 89, 89], [83, 83, 84, 85, 85, 86, 84, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035786087, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 91, 92, 93, 92, 93, 92, 96], [91, 90, 92, 91, 92, 92, 92, 96], [90, 90, 90, 91, 90, 91, 91, 95], [90, 89, 88, 90, 90, 91, 91, 92], [89, 88, 88, 91, 89, 88, 90, 91], [87, 87, 87, 89, 90, 91, 90, 92], [85, 87, 87, 88, 88, 89, 88, 89], [85, 82, 85, 84, 85, 86, 84, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035786290, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
